iter	Passed	Remaining
0	3	3869
1	5	2782
2	7	2402
3	8	2230
4	10	2182
5	13	2157
6	15	2133
7	17	2108
8	18	2088
9	20	2045
10	22	2007
11	24	1981
12	25	1957
13	27	1902
14	28	1879
15	30	1859
16	32	1865
17	34	1859
18	35	1840
19	37	1839
20	39	1836
21	41	1829
22	42	1824
23	44	1813
24	46	1803
25	47	1793
26	49	1782
27	51	1781
28	53	1776
29	53	1745
30	55	1739
31	57	1734
32	59	1729
33	60	1725
34	62	1720
35	64	1716
36	65	1712
37	67	1706
38	69	1701
39	70	1697
40	72	1693
41	74	1688
42	75	1684
43	77	1680
44	79	1678
45	80	1675
46	82	1671
47	84	1668
48	85	1664
49	87	1661
50	89	1658
51	90	1654
52	92	1651
53	94	1651
54	96	1649
55	97	1645
56	99	1642
57	100	1639
58	102	1636
59	104	1633
60	105	1631
61	107	1628
62	109	1627
63	111	1624
64	112	1616
65	114	1613
66	115	1611
67	117	1608
68	118	1605
69	120	1606
70	123	1611
71	125	1617
72	127	1615
73	128	1613
74	130	1614
75	132	1612
76	134	1617
77	137	1620
78	139	1621
79	141	1631
80	143	1629
81	145	1627
82	146	1624
83	149	1624
84	150	1622
85	152	1619
86	154	1616
87	155	1614
88	157	1611
89	159	1608
90	160	1606
91	162	1605
92	164	1603
93	166	1601
94	167	1598
95	168	1589
96	170	1587
97	172	1584
98	173	1578
99	175	1576
100	176	1573
101	178	1571
102	180	1568
103	181	1566
104	183	1564
105	185	1561
106	186	1559
107	188	1556
108	190	1555
109	192	1553
110	193	1551
111	195	1548
112	197	1546
113	198	1544
114	199	1538
115	201	1536
116	203	1534
117	204	1531
118	206	1529
119	208	1527
120	209	1525
121	211	1522
122	213	1520
123	214	1517
124	216	1516
125	217	1509
126	219	1507
127	220	1504
128	222	1502
129	224	1500
130	225	1498
131	227	1496
132	229	1494
133	230	1492
134	232	1490
135	234	1488
136	235	1486
137	237	1484
138	239	1482
139	240	1480
140	242	1478
141	244	1476
142	246	1475
143	247	1473
144	249	1471
145	251	1469
146	252	1467
147	254	1465
148	256	1463
149	257	1461
150	259	1459
151	261	1457
152	262	1455
153	264	1453
154	266	1451
155	267	1449
156	269	1448
157	271	1447
158	273	1445
159	274	1443
160	276	1441
161	278	1439
162	280	1438
163	282	1439
164	284	1441
165	289	1454
166	292	1459
167	295	1465
168	299	1470
169	302	1474
170	304	1475
171	308	1484
172	312	1493
173	314	1495
174	317	1495
175	319	1495
176	321	1495
177	323	1495
178	326	1495
179	328	1496
180	330	1496
181	332	1495
182	335	1497
183	337	1497
184	340	1498
185	343	1501
186	345	1503
187	349	1507
188	352	1511
189	354	1512
190	356	1511
191	358	1509
192	360	1509
193	362	1506
194	365	1507
195	368	1511
196	370	1509
197	371	1506
198	373	1504
199	375	1501
200	376	1497
201	378	1495
202	380	1492
203	381	1489
204	383	1487
205	385	1484
206	386	1481
207	388	1479
208	390	1476
209	391	1474
210	393	1471
211	395	1469
212	397	1466
213	398	1464
214	400	1462
215	402	1459
216	403	1457
217	405	1455
218	407	1452
219	409	1450
220	410	1447
221	412	1445
222	414	1442
223	415	1440
224	417	1437
225	419	1435
226	420	1432
227	422	1430
228	424	1428
229	425	1425
230	428	1425
231	430	1424
232	432	1422
233	434	1420
234	436	1419
235	437	1417
236	440	1416
237	441	1414
238	442	1409
239	444	1408
240	446	1405
241	448	1403
242	450	1403
243	452	1401
244	454	1399
245	456	1397
246	457	1395
247	459	1393
248	461	1391
249	463	1389
250	464	1387
251	466	1384
252	468	1382
253	469	1378
254	470	1376
255	472	1373
256	474	1371
257	476	1369
258	477	1366
259	479	1364
260	481	1362
261	482	1359
262	484	1357
263	486	1355
264	488	1353
265	489	1351
266	491	1349
267	493	1346
268	494	1344
269	496	1342
270	498	1340
271	500	1338
272	501	1336
273	503	1334
274	505	1331
275	506	1329
276	508	1327
